Street,Option1,Option2,Option3
Save Kovačevića,BORIK,STARČEVICA,
Save Ljuboje,STARČEVICA,MEJDAN,BORIK
Save Mrkalja,PALAS,TRANZIT,
Save Tekelije,BUDŽAK,BORIK,
Savska,BUDŽAK,BORIK,
Sanska,LAUŠ,PALAS,
Saničkih žetalaca,STARČEVICA,MEJDAN,BORIK
Sanička,BUDŽAK,TRANZIT,
Sarajevska,BORIK,STARČEVICA,
Subotička,BUDŽAK,TRANZIT,
Svete kraljice Jelene,LAUŠ,PALAS,
Svetozara Markovića,TRANZIT,PALAS,BORIK
Svetozara Ćorovića,LAUŠ,PALAS,
Svetozara Cvjetojevića,BUDŽAK,,
Svetog Nikole,LAUŠ,PALAS,
Sedma kuljanska,BUDŽAK,,
Sedamnaesta kuljanska,BUDŽAK,,
Sedmog februara,BUDŽAK,TRANZIT,
Sentandrejska,,,
Serdara Janka Vukotića,BUDŽAK,,
Sestara Levi,BORIK,STARČEVICA,
Sime i Ilije Partapa,MEJDAN ,STARČEVICA,PALAS
Sime Matavulja,PALAS,TRANZIT,
Sime Milić Jorgić,PALAS,LAUŠ,
Sime Miljuša,STARČEVICA,MEJDAN,BORIK
Sime Pandurevića,PALAS,LAUŠ,
Sime Šolaje,BORIK,PALAS,
Simeuna Đaka,PALAS,MEJDAN,
Siniše Mijatovića,STARČEVICA,MEJDAN,BORIK
S,PALAS,MEJDAN,
Slavka Rodića,PALAS,MEJDAN,
Slatinska,BUDŽAK,,
Slobodana Jovanovića,TRANZIT,PALAS,BORIK
Slobodana Kokanovića,BORIK,PALAS,
Slobodana Kusturića,STARČEVICA,MEJDAN,BORIK
Slobodana Dubrovčanina,STARČEVICA,MEJDAN,BORIK
Solunskih dobrovoljaca,BUDŽAK,TRANZIT,ŽUTE ZGRADE
Sokolovac,PALAS,MEJDAN,
Solunska,PALAS,MEJDAN,
Sopoćanska,BUDŽAK,,
Srđe Zlopogleđe,MEJDAN ,STARČEVICA,PALAS
Srednjoškolska,BUDŽAK,,
Sretena Stojanovića,BUDŽAK,,
Srpska,BORIK,STARČEVICA,PALAS
Srpskih vitezova,PALAS,MEJDAN,
Srpskih dobrovoljaca,STARČEVICA,MEJDAN,BORIK
Srpskih rudara,LAUŠ,PALAS,
Srpskih sokolova,LAUŠ,PALAS,
Srpskih ustanika,STARČEVICA,MEJDAN,BORIK
Srpskih pilota,TRANZIT,PALAS,
Stanka Božića Kobre,STARČEVICA,MEJDAN,BORIK
Starog Vujadina,STARČEVICA,MEJDAN,BORIK
Starine Novaka,MEJDAN ,STARČEVICA,PALAS
Starčevica,STARČEVICA,MEJDAN,BORIK
Stevana Bulajića,STARČEVICA,MEJDAN,BORIK
Stevana Markovića,TRANZIT,PALAS,
Stevana Mokranjca,TRANZIT,PALAS,
Stevana Moljevića,PALAS,MEJDAN,
Stevana Musića,BUDŽAK,BORIK,
Stefana Prvovenčanog,STARČEVICA,MEJDAN,BORIK
Stefana Dečanskog,MEJDAN ,STARČEVICA,PALAS
Stojana Jankovića,BUDŽAK,BORIK,TRANZIT
Stojana Novakovića,PALAS,MEJDAN,
Stojka Vranješa,MEJDAN ,STARČEVICA,PALAS
Studenička,STARČEVICA,MEJDAN,BORIK
